10,27,C09, 3, 95
16,29,D09, 3, 150
9,5,G12, 0, 17
10,16,F02, 1, 24
8,17,C09, 2, 72
12,35,C10, 1, 73
13,8,C10, 156, 3
16,5,C10, 78, 0
1,10,C10, 62, 6
5,40,C11, 8, 36
6,39,C11, 71, 1
1,9,C11, 6, 52
8,22,H10, 0, 49
9,21,C11, 3, 65
8,23,C11, 41, 0
9,5,F04, 3, 6
5,25,D01, 1, 62
9,25,C12, 0, 78
5,3,E04, 33, 0
9,37,D11, 43, 0
13,29,G09, 4, 65
5,37,C12, 69, 0
8,27,D01, 95, 10
5,14,D01, 1, 44
8,25,D01, 12, 65
13,39,D01, 31, 0
11,10,D01, 56, 12
14,3,D01, 4, 169
11,17,D01, 9, 81
18,26,D01, 6, 53
15,13,D02, 1, 122
7,27,D02, 86, 12
15,14,D02, 3, 48
10,33,E12, 14, 0
15,15,D02, 13, 70
16,13,D02, 96, 6
11,23,H11, 0, 53
13,19,D02, 4, 18
18,6,D02, 20, 4
3,16,D02, 105, 19
12,9,D02, 47, 5
1,14,D02, 14, 111
10,16,D03, 0, 27
9,38,H05, 2, 4
13,1,D03, 60, 3
16,22,G07, 3, 56
17,27,D03, 14, 32
7,25,D03, 1, 48
14,26,D03, 8, 182
13,14,D04, 1, 31
18,1,D04, 61, 0
14,18,F02, 3, 66
15,35,E03, 13, 1
18,8,D05, 17, 2
9,27,D05, 3, 100
14,7,F11, 0, 18
4,27,D05, 0, 156
12,35,D05, 10, 2
4,9,D05, 116, 7
3,19,D05, 14, 185
7,28,D10, 0, 46
3,7,D06, 125, 4
15,5,G09, 0, 76
9,31,D07, 3, 181
14,7,D07, 1, 13
6,12,D07, 9, 216
14,23,D07, 13, 74
6,21,D07, 3, 88
3,19,D07, 2, 62
4,23,D07, 17, 57
7,20,H08, 0, 55
7,17,D07, 0, 77
13,5,D07, 156, 8
17,25,D08, 0, 69
1,6,H07, 1, 9
3,38,D08, 25, 5
12,10,D08, 17, 236
11,5,D08, 15, 74
1,16,D08, 1, 52
3,10,D09, 3, 215
10,5,D09, 92, 1
9,15,D09, 2, 221
17,33,D09, 22, 233
15,7,E12, 15, 0
12,14,D09, 2, 17
14,35,D09, 112, 10
9,18,F07, 0, 56
17,5,D11, 46, 1
2,2,D09, 7, 1
1,42,F09, 20, 1
5,14,F05, 0, 48
9,8,D10, 25, 0
9,16,H12, 4, 26
12,19,F03, 2, 90
10,11,D11, 1, 54
1,6,D11, 40, 0
9,38,D11, 152, 7
14,18,D11, 1, 102
3,19,D11, 3, 85
18,20,D12, 8, 115
5,18,D12, 48, 4
7,16,D12, 2, 41
1,1,D12, 80, 4
16,25,D12, 9, 116
12,35,D12, 137, 2
15,4,D12, 79, 3
18,7,D12, 40, 1
1,9,H07, 0, 37
10,6,E01, 68, 2
7,25,E01, 12, 111
3,25,E01, 64, 3
13,12,E02, 25, 1
6,17,E02, 3, 61
18,6,E02, 31, 2
4,23,E02, 1, 35
6,28,E03, 4, 39
12,21,F08, 1, 18
6,10,H06, 0, 59
8,41,G12, 9, 3
8,23,F12, 0, 44
1,42,E07, 26, 10
18,16,E07, 0, 63
17,16,F11, 1, 42
4,14,G11, 6, 1
6,10,E08, 2, 32
3,27,E09, 3, 11
14,23,E09, 2, 16
12,25,G01, 2, 8
15,17,E09, 26, 2
3,9,H08, 0, 30
5,1,F11, 2, 12
4,13,H04, 12, 0
10,19,E10, 3, 38
4,18,E10, 41, 1
8,22,E10, 0, 45
11,19,H01, 4, 59
11,20,G08, 0, 41
11,23,E11, 7, 2
14,17,E11, 2, 73
3,21,F02, 0, 22
16,12,E11, 6, 90
5,12,E11, 60, 6
11,23,E12, 1, 17
4,8,E12, 24, 1
12,2,E12, 22, 1
10,5,F01, 1, 80
10,15,F01, 1, 40
15,14,F01, 2, 139
4,21,F01, 2, 52
3,29,F01, 20, 146
9,35,F01, 2, 183
3,10,F02, 17, 146
6,19,F02, 1, 90
15,7,F02, 36, 2
10,10,F02, 86, 1
8,18,F02, 4, 19
9,19,H03, 1, 19
14,25,F03, 5, 36
4,12,F03, 0, 67
15,2,F03, 31, 9
2,10,F03, 13, 160
11,16,F04, 20, 8
13,5,F04, 92, 3
16,7,F05, 20, 287
10,4,F05, 63, 7
1,6,F05, 0, 101
8,25,F05, 3, 336
8,12,F05, 73, 6
15,24,F05, 2, 126
15,12,F05, 6, 42
10,3,F05, 0, 106
7,13,F06, 2, 99
7,27,F06, 5, 285
6,20,F06, 4, 83
4,42,F06, 111, 5
16,3,F06, 134, 6
15,15,F06, 2, 65
11,35,F06, 3, 4
16,4,F06, 115, 9
18,31,F07, 38, 3
2,40,F07, 2, 205
16,25,F07, 0, 80
8,2,F07, 22, 8
1,13,F07, 0, 75
15,35,F07, 1, 70
4,5,F07, 3, 36
9,35,F07, 34, 1
8,27,F08, 44, 3
3,2,F08, 23, 1
3,9,F08, 2, 44
16,27,F09, 0, 180
13,29,F09, 0, 62
11,7,F10, 0, 31
14,35,F10, 1, 50
4,16,F10, 124, 1
8,12,F10, 1, 182
16,8,F10, 52, 0
15,27,F10, 1, 124
9,27,F11, 1, 106
13,12,F11, 19, 231
13,1,F11, 14, 2
4,27,F11, 3, 253
9,12,F11, 3, 39
10,20,F11, 4, 40
4,43,F11, 2, 21
7,22,F11, 4, 99
10,14,F12, 211, 9
3,17,F12, 21, 163
17,14,F12, 30, 8
5,17,F12, 7, 83
6,10,F12, 15, 193
2,9,G01, 59, 3
15,21,G01, 3, 90
12,26,G01, 31, 11
7,17,G01, 2, 76
5,39,G01, 19, 2
7,7,G02, 28, 10
8,29,G02, 3, 68
3,17,G02, 1, 75
13,39,G02, 37, 1
9,9,G02, 1, 30
18,13,G03, 30, 3
8,14,G03, 39, 0
4,23,G03, 7, 48
9,17,H05, 0, 57
11,17,G04, 9, 38
6,22,G04, 1, 22
4,7,G05, 45, 4
6,16,G05, 1, 146
11,2,G05, 98, 10
14,26,G05, 12, 89
2,27,G06, 1, 67
